entity_type,node_label,stage,query_keywords_zh,query_keywords_en,unique_id,core_attributes,description,example
Molecule,Molecule,Stage1+3,分子;Molecule;InChI;SMILES;化合物;分子式,InChI;SMILES;Molecule;Compound,name,"id_type, roles[], properties{}, CAS, PubChemID",跨阶段统一分子实体（核心），以InChI或SMILES唯一标识,InChI=1S/C6H12O6/c7-1-2-3(8)4(9)5(10)6(11)12-2/h2-11H,1H2
Reaction,reaction_name,Stage1,反应;Reaction;美拉德反应;反应名称;reaction_name,Reaction;Maillard Reaction;Chemical Reaction,name,"reaction_number, created_at",美拉德反应主体节点，存储反应基本信息,Fructose + Glycine reaction
Catalog_1,reaction_catalog_1,Stage1,一级分类;目录1;catalog_1;category_1,Catalog 1;Category 1;Class 1,name,-,反应一级分类目录（如糖类反应、氨基酸反应）,Hexose reactions
Catalog_2,reaction_catalog_2,Stage1,二级分类;目录2;catalog_2;category_2,Catalog 2;Category 2;Class 2,name,-,反应二级分类目录（如葡萄糖特定反应）,Glucose-Glycine specific
AA_Sugar,AA_sugars_name,Stage1,氨基酸糖组合;aa-sugar;AA_Sugar;标记,Amino Acid-Sugar;AA-Sugar;Marker,name,-,氨基酸-糖组合标记节点，用于快速识别反应类型,Fructose-Glycine
Reactant_SMILES,Reactant_SMILES,Stage1,反应物SMILES;反应物分子式;reactant_smile;反应物结构,Reactant SMILES;Reactant Structure;R-SMILES,name,"order, linked_molecule",反应物角色节点（SMILES表示），关联Molecule实体,C[C@@H](O)[C@H](O)...
Product_SMILES,Product_SMILES,Stage1,产物SMILES;产物分子式;product_smile;产物结构,Product SMILES;Product Structure;P-SMILES,name,"order, linked_molecule",产物角色节点（SMILES表示），关联Molecule实体,O=C[C@@H](O)[C@H](O)...
Reactant_InChI,Reactant_InChI,Stage1,反应物InChI;反应物标准式;reactant_inchi,Reactant InChI;R-InChI,name,order,反应物角色节点（InChI表示），更稳定的标识符,InChI=1S/C6H12O6...
Product_InChI,Product_InChI,Stage1,产物InChI;产物标准式;product_inchi,Product InChI;P-InChI,name,order,产物角色节点（InChI表示），更稳定的标识符,InChI=1S/C6H10O5...
Reaction_SMILES,reaction_SMILE,Stage1,反应SMILES;整体反应式;reaction_smile;反应方程,Reaction SMILES;Overall Reaction;RXN-SMILES,name,-,【脚本扩展】反应整体SMILES表示（非角色特定）,CC(=O)O.O=C=O>>...
Reaction_InChI,rxn_InchI,Stage1,反应InChI;整体反应标准式;reaction_inchi;反应方程InChI,Reaction InChI;Overall InChI;RXN-InChI,name,-,【脚本扩展】反应整体InChI表示,InChI=1S/...
